"","Measure","Attribute","Value","Category","Date"
"190","Auctioned booking slots","Used","6","Booking Slots",2017-03-01
"191","Neopanamax Vessels (beam 107' and over)","Percentage","7796","Booking Slots",2017-03-01
"192","Large Vessels (91' to 107’ beam)","Percentage","8596","Booking Slots",2017-03-01
"193","Regular Vessels (beam less than 91')","Percentage","8552","Booking Slots",2017-03-01
"194","Regular Vessels (up to 300' in length)","Percentage","10000","Booking Slots",2017-03-01
"195","Auctioned booking slots","Percentage","3333","Booking Slots",2017-03-01
"196","Neopanamax Vessels (107’ beam and Over)","Available","240","Booking Slots",2019-04-01
"197","Large Vessels (91’ beam to under 107’ beam)","Available","450","Booking Slots",2019-04-01
"198","Regular Vessels (less than 91' beam)","Available","240","Booking Slots",2019-04-01
"199","Regular Vessels (up to 300' in length)","Available","1","Booking Slots",2019-04-01
"200","Auctioned booking slots","Available","1","Booking Slots",2019-04-01
"201","Neopanamax Vessels (107’ beam and Over)","Used","172","Booking Slots",2019-04-01
"202","Large Vessels (91’ beam to under 107’ beam)","Used","2671","Booking Slots",2019-04-01
"203","Regular Vessels (less than 91' beam)","Used","1391","Booking Slots",2019-04-01
"204","Regular Vessels (up to 300' in length)","Used","0","Booking Slots",2019-04-01
"205","Auctioned booking slots","Used","0","Booking Slots",2019-04-01
"206","Neopanamax Vessels (107’ beam and Over)","Percentage","7167","Booking Slots",2019-04-01
"207","Large Vessels (91’ beam to under 107’ beam)","Percentage","5933","Booking Slots",2019-04-01
"208","Regular Vessels (less than 91' beam)","Percentage","5792","Booking Slots",2019-04-01
"209","Regular Vessels (up to 300' in length)","Percentage","000","Booking Slots",2019-04-01
"210","Auctioned booking slots","Percentage","000","Booking Slots",2019-04-01
"211","Neopanamax Vessels (beam 107' and over)","Available","180","Booking Slots",2017-04-01
"212","Large Vessels (91' to 107’ beam)","Available","448","Booking Slots",2017-04-01
"213","Regular Vessels (beam less than 91')","Available","238","Booking Slots",2017-04-01
"214","Regular Vessels (up to 300' in length)","Available","2","Booking Slots",2017-04-01
"215","Auctioned booking slots","Available","8","Booking Slots",2017-04-01
"216","Neopanamax Vessels (beam 107' and over)","Used","156","Booking Slots",2017-04-01
"217","Large Vessels (91' to 107’ beam)","Used","3611","Booking Slots",2017-04-01
"218","Regular Vessels (beam less than 91')","Used","1621","Booking Slots",2017-04-01
"219","Regular Vessels (up to 300' in length)","Used","2","Booking Slots",2017-04-01
"220","Auctioned booking slots","Used","3","Booking Slots",2017-04-01
"221","Neopanamax Vessels (beam 107' and over)","Percentage","8667","Booking Slots",2017-04-01
"222","Large Vessels (91' to 107’ beam)","Percentage","8058","Booking Slots",2017-04-01
"223","Regular Vessels (beam less than 91')","Percentage","6807","Booking Slots",2017-04-01
"224","Regular Vessels (up to 300' in length)","Percentage","10000","Booking Slots",2017-04-01
"225","Auctioned booking slots","Percentage","3750","Booking Slots",2017-04-01
"226","Neopanamax Vessels (beam 107' and over)","Available","186","Booking Slots",2017-05-01
"227","Large Vessels (91' to 107’ beam)","Available","465","Booking Slots",2017-05-01
"228","Regular Vessels (beam less than 91')","Available","248","Booking Slots",2017-05-01
"229","Regular Vessels (up to 300' in length)","Available","0","Booking Slots",2017-05-01
"230","Auctioned booking slots","Available","5","Booking Slots",2017-05-01
"231","Neopanamax Vessels (beam 107' and over)","Used","155","Booking Slots",2017-05-01
"232","Large Vessels (91' to 107’ beam)","Used","3261","Booking Slots",2017-05-01
