"","Measure","Attribute","Value","Category","Date"
"270","Vessels 91’ beam to under 107’ beam","Daily Average","18.48","Oceangoing Transits",2018-07-01
"271","Neopanamax Vessels (107’ beam and over)","Daily Average","7.52","Oceangoing Transits",2018-07-01
"272","Total:","Daily Average","32.19","Oceangoing Transits",2018-07-01
"273","Vessels of less than 91’ beam","Percentage","19.24","Oceangoing Transits",2018-07-01
"274","Vessels 91’ beam to under 107’ beam","Percentage","57.41","Oceangoing Transits",2018-07-01
"275","Neopanamax Vessels (107’ beam and over)","Percentage","23.35","Oceangoing Transits",2018-07-01
"276","Total:","Percentage","100.00","Oceangoing Transits",2018-07-01
"277","Vessels of less than 91’ beam","Total","185","Oceangoing Transits",2019-07-01
"278","Vessels 91’ beam to under 107’ beam","Total","553","Oceangoing Transits",2019-07-01
"279","Neopanamax Vessels (107’ beam and over)","Total","263","Oceangoing Transits",2019-07-01
"280","Total:","Total","1,001","Oceangoing Transits",2019-07-01
"281","Vessels of less than 91’ beam","Daily Average","5.97","Oceangoing Transits",2019-07-01
"282","Vessels 91’ beam to under 107’ beam","Daily Average","17.84","Oceangoing Transits",2019-07-01
"283","Neopanamax Vessels (107’ beam and over)","Daily Average","8.48","Oceangoing Transits",2019-07-01
"284","Total:","Daily Average","32.29","Oceangoing Transits",2019-07-01
"285","Vessels of less than 91’ beam","Percentage","18.48","Oceangoing Transits",2019-07-01
"286","Vessels 91’ beam to under 107’ beam","Percentage","55.24","Oceangoing Transits",2019-07-01
"287","Neopanamax Vessels (107’ beam and over)","Percentage","26.27","Oceangoing Transits",2019-07-01
"288","Total:","Percentage","100","Oceangoing Transits",2019-07-01
"289","Vessels of less than 91´ beam","Total","205","Oceangoing Transits",2017-08-01
"290","Vessels 91´ beam to under 107’ beam","Total","616","Oceangoing Transits",2017-08-01
"291","Neopanamax Vessels (beam107’ and over)","Total","153","Oceangoing Transits",2017-08-01
"292","Total:","Total","974","Oceangoing Transits",2017-08-01
"293","Vessels of less than 91´ beam","Daily Average","6.61","Oceangoing Transits",2017-08-01
"294","Vessels 91´ beam to under 107’ beam","Daily Average","19.87","Oceangoing Transits",2017-08-01
"295","Neopanamax Vessels (beam107’ and over)","Daily Average","4.94","Oceangoing Transits",2017-08-01
"296","Total:","Daily Average","31.42","Oceangoing Transits",2017-08-01
"297","Vessels of less than 91´ beam","Percentage","21.05","Oceangoing Transits",2017-08-01
"298","Vessels 91´ beam to under 107’ beam","Percentage","63.24","Oceangoing Transits",2017-08-01
"299","Neopanamax Vessels (beam107’ and over)","Percentage","15.71","Oceangoing Transits",2017-08-01
"300","Total:","Percentage","100","Oceangoing Transits",2017-08-01
"301","Vessels of less than 91’ beam","Total","209","Oceangoing Transits",2018-08-01
"302","Vessels 91’ beam to under 107’ beam","Total","566","Oceangoing Transits",2018-08-01
"303","Neopanamax Vessels (107’ beam and over)","Total","230","Oceangoing Transits",2018-08-01
"304","Total:","Total","1,005","Oceangoing Transits",2018-08-01
"305","Vessels of less than 91’ beam","Daily Average","6.74","Oceangoing Transits",2018-08-01
"306","Vessels 91’ beam to under 107’ beam","Daily Average","18.26","Oceangoing Transits",2018-08-01
"307","Neopanamax Vessels (107’ beam and over)","Daily Average","7.42","Oceangoing Transits",2018-08-01
"308","Total:","Daily Average","32.42","Oceangoing Transits",2018-08-01
"309","Vessels of less than 91’ beam","Percentage","20.80","Oceangoing Transits",2018-08-01
"310","Vessels 91’ beam to under 107’ beam","Percentage","56.32","Oceangoing Transits",2018-08-01
"311","Neopanamax Vessels (107’ beam and over)","Percentage","22.89","Oceangoing Transits",2018-08-01
"312","Total:","Percentage","100","Oceangoing Transits",2018-08-01
"313","Vessels of less than 91’ beam","Total","226","Oceangoing Transits",2019-08-01
"314","Vessels 91’ beam to under 107’ beam","Total","610","Oceangoing Transits",2019-08-01
"315","Neopanamax Vessels (107’ beam and over)","Total","277","Oceangoing Transits",2019-08-01
"316","Total:","Total","1,113","Oceangoing Transits",2019-08-01
"317","Vessels of less than 91’ beam","Daily Average","7.29","Oceangoing Transits",2019-08-01
"318","Vessels 91’ beam to under 107’ beam","Daily Average","19.68","Oceangoing Transits",2019-08-01
"319","Neopanamax Vessels (107’ beam and over)","Daily Average","8.94","Oceangoing Transits",2019-08-01
"320","Total:","Daily Average","35.90","Oceangoing Transits",2019-08-01
"321","Vessels of less than 91’ beam","Percentage","20.31","Oceangoing Transits",2019-08-01
"322","Vessels 91’ beam to under 107’ beam","Percentage","54.81","Oceangoing Transits",2019-08-01
"323","Neopanamax Vessels (107’ beam and over)","Percentage","24.89","Oceangoing Transits",2019-08-01
"324","Total:","Percentage","100","Oceangoing Transits",2019-08-01
"325","Vessels of less than 91’ beam","Total","208","Oceangoing Transits",2018-09-01
"326","Vessels 91’ beam to under 107’ beam","Total","555","Oceangoing Transits",2018-09-01
"327","Neopanamax Vessels (107’ beam and over)","Total","229","Oceangoing Transits",2018-09-01
"328","Total:","Total","992","Oceangoing Transits",2018-09-01
"329","Vessels of less than 91’ beam","Daily Average","6.93","Oceangoing Transits",2018-09-01
